MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mp-561468,Cu2SiS3,S,1,12,6,3.5719,3.64963,3,['P31m'],157,-0.56556861,0.0354,[2],['SK-1'],['kgm'],True,True
mp-1219079,SmCo2Cu3,Cu,1,6,3,2.4734,4.11776,3,['P6/mmm'],191,-0.03211208,0.0,[2],['SK-1'],['kgm'],True,True
mp-14336,Cs2Ni3Se4,Ni,1,9,3,3.08917,5.32961,3,['Fmmm'],69,-0.8603749,0.6889,[2],['SK-1'],['kgm'],False,True
mp-1247063,DyMg2Ti3S8,Ti,1,14,3,3.68447,6.38262,4,['R-3m'],166,-1.72949696,0.0,[2],['SK-1'],['kgm'],True,True
mp-1247039,Mg2TiNi3S8,Ni,1,14,3,3.57355,6.10476,4,['R-3m'],166,-0.97408952,0.0,[2],['SK-1'],['kgm'],True,True
mp-1207723,Y(GaCo)6,Co,2,13,6,2.50083,3.91573,3,['Immm'],71,-0.33165119,0.0,[2],['SK-1'],['kgm'],False,True
mp-754232,Li4Co3WO8,Co,1,16,3,3.02916,5.19019,4,['R-3m'],166,-1.90258572,1.9312,[2],['SK-1'],['kgm'],True,True
mp-1225932,Dy2Ga3(Fe7C)2,Ga,1,21,3,4.27793,4.83444,4,['C2/m'],12,-0.1478629,0.0,[2],['SK-1'],['kgm'],False,True
mp-772177,Li2Fe3CuO8,Fe,1,14,3,2.97973,5.12547,4,['R-3m'],166,-1.53386807,0.0,[2],['SK-1'],['kgm'],True,True
mp-1224323,KNa3Al12H24(SO7)8,Al,4,104,12,3.52207,6.00879,6,['P2/m'],10,-2.24006099,5.4736,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1239190,TaCr3(AgS4)2,Cr,2,28,6,3.66394,6.1662,4,['P222_1'],17,-0.91884155,0.1774,[2],['SK-1'],['kgm'],False,True
mp-1178157,K(WO3)3,W,2,26,6,3.73693,3.89287,3,['Cc'],9,-2.23026066,0.5068,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1226329,Cr3Fe3SiAs2,Cr,1,9,3,3.15723,3.61118,4,['P-62m'],189,-0.17452115,0.0,[2],['SK-1'],['kgm'],True,True
mp-624214,Cs3Bi2I9,I,4,28,18,4.29314,4.45397,3,['P6_3/mmc'],194,-1.21330282,2.3446,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-24', 'SK-24']","['kgm', 'kgm', 'None', 'None']",True,True
mp-15779,Mg2SiNi3,Ni,1,6,3,2.50104,3.94355,3,['R-3m'],166,-0.46942178,0.0,[2],['SK-1'],['kgm'],True,True
mvc-8040,Zn2Ni3O8,Ni,2,26,6,2.86734,4.8834,3,['P6_3mc'],186,-1.01110117,0.3911,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-772407,Li6V3P8O29,V,2,92,6,4.97794,7.00434,4,['P1'],1,-2.65831406,1.1849,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1225989,DyMn4(CrGe3)2,Mn,1,13,4,2.56404,4.09653,4,['Cmm2'],35,-0.26970523,0.0,[2],['SK-1'],['kgm'],False,True
mp-22130,Ti(FeGe)6,Fe,2,13,6,2.51258,3.99955,3,['P6/mmm'],191,-0.20828806,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1182363,As4N2Cl2O7,O,2,15,7,2.6646,3.09409,4,['Cmmm'],65,-0.20011203,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1226764,CeAlRu,Ru,1,12,4,2.79384,4.45902,3,['Amm2'],38,-0.48488694,0.0,[2],['SK-1'],['kgm'],False,True
mp-4454,CeCo3B2,Co,1,6,3,2.51934,3.02137,3,['P6/mmm'],191,-0.49070445,0.0,[2],['SK-1'],['kgm'],True,True
mp-1193027,CeZnNi2,Ni,4,24,12,2.61257,4.07143,3,['P6_3/mmc'],194,-0.34092599,0.0,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-976368,NdAlPd,Nd,1,9,3,3.76415,4.25492,3,['P-62m'],189,-0.8044256,0.0,[2],['SK-1'],['kgm'],True,True
mp-19063,ErCrO3,O,4,20,12,2.80272,2.86534,3,['Pnma'],62,-3.23658507,0.2464,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mvc-7639,Mg2Sb3O8,Sb,2,26,6,3.23829,5.16306,3,['P6_3mc'],186,-1.99543237,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-757217,Li6V3P8O29,V,2,92,6,4.98546,7.06658,4,['P1'],1,-2.65787371,1.4686,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1275037,Li2V3SnO8,V,2,28,6,3.00122,5.1904,4,['C2/m'],12,-2.41115026,0.9988,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1223833,K(WO3)3,W,1,13,3,3.76022,3.88328,3,['P6mm'],183,-2.22651911,0.0,[2],['SK-1'],['kgm'],True,True
mp-1207856,Y3Cu11Si4,Si,2,36,8,4.21883,4.30473,3,['P6_3/mmc'],194,-0.30702643,0.0035,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1246563,LuMg2Cr3S8,Cr,1,14,3,3.67294,6.36168,4,['R-3m'],166,-1.41409067,0.9055,[2],['SK-1'],['kgm'],True,True
mp-1214568,Ba4(Sn3Bi)3,Bi,2,32,6,3.67558,6.36629,3,['P6_3/mmc'],194,-0.46831733,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1304884,Li3Mn3TeO8,Li,2,30,6,3.12824,5.25126,4,['C2/m'],12,-2.01191533,0.5671,[2],['SK-1'],['kgm'],False,True
mp-1304884,Li3Mn3TeO8,Mn,2,30,6,3.12519,5.22493,4,['C2/m'],12,-2.01191533,0.5671,[2],['SK-1'],['kgm'],False,True
mp-3006,P2Pd3S8,Pd,1,13,3,3.62353,6.27613,3,['P-3m1'],164,-0.63588182,1.6807,[2],['SK-1'],['kgm'],True,True
mp-510439,In2Pt3,Pt,4,20,12,2.81596,2.98421,2,['P6_3/mmc'],194,-0.47449908,0.0,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-1247082,Mg2CrIn3S8,In,1,14,3,3.79822,6.5431,4,['R-3m'],166,-1.1007041,1.1668,[2],['SK-1'],['kgm'],True,True
mp-17545,V2Zn3O8,Zn,2,26,6,3.06028,4.96494,3,['Cmce'],64,-2.08153442,2.7147,[2],['SK-1'],['kgm'],False,True
mp-12696,YMgPd,Y,1,9,3,3.90643,4.09223,3,['P-62m'],189,-0.69572966,0.0,[2],['SK-1'],['kgm'],True,True
mp-1080654,LaPdPb,La,1,9,3,4.13987,4.22818,3,['P-62m'],189,-0.77037185,0.0,[2],['SK-1'],['kgm'],True,True
mp-754956,Li3Ni4SbO8,Li,1,16,3,2.99933,5.1362,4,['C2/m'],12,-1.69535263,1.6713,[2],['SK-1'],['kgm'],False,True
mp-1176316,Li9Mn2Co5O16,Co,1,32,5,2.92005,5.06276,4,['C2/m'],12,-1.82097082,0.0,[2],['SK-1'],['kgm'],False,True
mp-1102168,VCo2Ni,Ni,1,12,3,2.50637,4.34116,3,['R-3m'],166,-0.19897788,0.0,[2],['SK-1'],['kgm'],True,True
mp-1215662,Zr2CrFe3,Fe,2,12,6,2.47366,4.28846,3,['P6_3/mmc'],194,-0.18118772,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1246861,Mg2Ti3VS8,Ti,1,14,3,3.64842,6.31905,4,['R-3m'],166,-1.54079499,0.0,[2],['SK-1'],['kgm'],True,True
mp-755034,Li3Fe4WO8,Li,1,16,3,3.03589,5.2318,4,['C2/m'],12,-1.81109584,1.146,[2],['SK-1'],['kgm'],False,True
mp-1080381,SmB2Ir3,Ir,1,6,3,2.75807,3.15373,3,['P6/mmm'],191,-0.66455985,0.0,[2],['SK-1'],['kgm'],True,True
mp-1246382,YMg2Mn3S8,Mn,1,14,3,3.70291,6.41416,4,['R-3m'],166,-1.28248012,0.0,[2],['SK-1'],['kgm'],True,True
mp-1217720,Tb2Mn3Sb3O14,Sb,1,22,3,3.68483,6.18151,4,['C2/m'],12,-2.34831134,1.2812,[2],['SK-1'],['kgm'],True,True
mp-1104033,Nb6Cr7,Cr,2,13,7,2.43477,2.48926,2,['R-3m'],166,0.01302749,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-849689,FeO,O,2,24,12,3.00588,3.06834,2,['P-62c'],190,-1.37772631,1.5901,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1540553,Rb2Ti(TeO4)3,Te,1,18,3,3.63758,6.24921,4,['R-3m'],166,-1.99939643,1.6461,[2],['SK-1'],['kgm'],True,True
mp-772220,Li3Ta7O19,Li,2,58,6,3.15049,5.4568,3,['P6_3/m'],176,-3.17119211,2.8873,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-772220,Li3Ta7O19,Ta,4,58,14,3.48259,3.72006,3,['P6_3/m'],176,-3.17119211,2.8873,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-1175466,Li9Co7O16,Co,1,32,7,2.88171,4.99127,3,['R-3m'],166,-1.69156389,0.0,[2],['SK-1'],['kgm'],True,True
mp-1179387,ReH12N3Cl4O3,N,2,46,6,4.6453,4.76711,5,['P6_3mc'],186,-1.00732239,2.5414,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1195185,K2NaAl3F12,Al,4,72,12,3.51149,5.59289,4,['Pnma'],62,-3.64564394,7.1897,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1219351,Sm4Fe31(CoC2)3,C,2,44,6,4.33124,4.85,4,['P1'],1,-0.0506789,0.0,[2],['SK-1'],['kgm'],True,True
mp-1103891,Mg3Si2O9,Mg,1,14,3,3.02613,3.33755,3,['P31m'],157,-2.45082082,0.0,[2],['SK-1'],['kgm'],True,True
mp-756719,Li4TiCo3O8,Co,2,32,6,2.93639,5.08161,4,['C2/m'],12,-2.07526825,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-753013,Co3TeO8,Co,1,12,3,2.97245,5.14567,3,['R-3m'],166,-1.21338301,0.0,[2],['SK-1'],['kgm'],True,True
mp-12277,CaAgP,Ca,1,9,3,3.70304,4.20302,3,['P-62m'],189,-0.7607249,0.1935,[2],['SK-1'],['kgm'],True,True
mp-15949,Li(NiGe)6,Ni,6,39,18,2.52807,3.75852,3,['P6/mmm'],191,-0.31890367,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-16282,KNa2Li3Cr2(Si2O5)6,Li,2,100,6,5.08537,7.14477,6,['P6/mcc'],192,-3.03327655,3.8415,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-574004,GdMgGa,Gd,1,9,3,3.80442,4.48871,3,['P-62m'],189,-0.49455488,0.0,[2],['SK-1'],['kgm'],True,True
mp-756926,Li4Ni3BiO8,Ni,1,16,3,3.03313,5.23222,4,['R-3m'],166,-1.61263485,0.0,[2],['SK-1'],['kgm'],True,True
mp-35796,Li3V4O8,V,1,15,4,2.95989,3.05405,3,['R-3m'],166,-2.42896339,0.0,[2],['SK-1'],['kgm'],True,True
mp-1290512,Mn3Cr3O8,Cr,2,28,6,3.03388,5.23347,3,['C2/m'],12,-2.25446716,1.0705,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-21320,UGaNi,U,1,9,3,3.39494,4.08335,3,['P-62m'],189,-0.3014277,0.0,[2],['SK-1'],['kgm'],True,True
mp-1227757,Ca3BiAu14,Au,3,18,14,2.76323,2.82442,3,['P3m1'],156,-0.4104511,0.0,"[2, 2, 2]","['SK-1', 'SK-13', 'SK-13']","['kgm', 'None', 'None']",True,True
mp-1220755,Nd2Ga3(Fe7C)2,Ga,1,21,3,4.36349,4.85873,4,['C2/m'],12,-0.10377087,0.0,[2],['SK-1'],['kgm'],True,True
mp-25273,LiMo3O8,Mo,1,12,3,3.06137,5.22109,3,['R3m'],160,-1.85219444,0.0,[2],['SK-1'],['kgm'],True,True
mp-23083,KAs4BrO6,O,2,12,6,2.67357,3.39936,4,['P6/mmm'],191,-1.71293119,2.8419,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-850768,Li9V6(P8O29)2,V,1,89,6,4.9977,5.10058,4,['P1'],1,-2.59424226,0.59,[2],['SK-1'],['kgm'],False,True
mp-1104097,Ti(CoGe)6,Co,2,13,6,2.50816,3.8517,3,['P6/mmm'],191,-0.29371563,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1105051,Dy(MnSn)6,Mn,2,13,6,2.72823,4.48886,3,['P6/mmm'],191,-0.13917337,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-755011,Li3Cr2(FeO4)2,Li,1,15,3,2.98178,5.14679,4,['C2/m'],12,-2.06227003,0.6462,[2],['SK-1'],['kgm'],True,True
mp-1233903,BaMgAl3P2(HO7)2,Al,1,23,3,3.49404,6.01466,6,['C2'],5,-2.66240671,0.0,[2],['SK-1'],['kgm'],False,True
mp-1197175,KLi3Ca7Ti2(Si6O19)2,Li,2,126,6,4.90849,8.39431,6,['C2/c'],15,-3.23009332,0.0121,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-757494,K(WO3)4,W,4,51,12,3.7555,3.84672,3,['P3m1'],156,-2.23594609,0.0,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-1216210,Y(AlCu)6,Cu,2,13,6,2.52445,3.91776,3,['Immm'],71,-0.36144149,0.0,[2],['SK-1'],['kgm'],False,True
mp-982064,Tl3Br,Tl,2,8,6,3.47474,3.73105,2,['P6_3/mmc'],194,-0.40558269,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-759755,Li6V3P8O29,V,2,92,6,5.00046,6.97011,4,['P1'],1,-2.7066705,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-31220,AlSiTe3,Te,2,10,6,3.8653,4.08897,3,['P-31m'],162,-0.52120497,1.3431,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-12381,PrSnRh,Pr,1,9,3,3.93253,4.20446,3,['P-62m'],189,-0.83589514,0.0,[2],['SK-1'],['kgm'],True,True
mp-1219802,RbNaMg3Zn2(Si2O5)6,Zn,1,98,4,5.13661,7.28236,6,['C2'],5,-3.08429995,4.2766,[2],['SK-1'],['kgm'],True,True
mp-33056,Rb6C5,Rb,1,11,6,4.23588,4.34488,2,['P-62m'],189,2.10231044,0.0,[2],['SK-1'],['kgm'],True,True
mp-9385,RbAu3Se2,Au,1,6,3,3.14489,5.4471,3,['P-3m1'],164,-0.60876847,1.831,[2],['SK-1'],['kgm'],True,True
mp-1104953,Sc(CoGe)6,Co,2,13,6,2.52187,3.88949,3,['P6/mmm'],191,-0.35862155,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1216123,Y2Al3Fe,Al,1,6,3,2.74864,4.66519,3,['R-3m'],166,-0.40907079,0.0,[2],['SK-1'],['kgm'],True,True
mp-675140,K(WO3)6,W,2,25,6,3.76018,3.85336,3,['P-31m'],162,-2.22239151,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-765395,Li4V3P8O29,V,2,88,6,4.95546,7.03488,4,['P1'],1,-2.57498646,0.8334,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-20037,PrInRh,Pr,1,9,3,4.00799,4.10133,3,['P-62m'],189,-0.68034098,0.0,[2],['SK-1'],['kgm'],True,True
mp-545665,WO3,W,1,12,3,3.75408,3.86255,2,['P6/mmm'],191,-2.17994105,1.1925,[2],['SK-1'],['kgm'],True,True
mp-23126,KAs4IO6,O,2,12,6,2.68165,3.46042,4,['P6/mmm'],191,-1.66631537,2.4512,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-675586,Fe2SiO4,Fe,3,42,12,2.92199,2.98243,3,['P3m1'],156,-2.13236721,0.9454,"[2, 2, 2]","['SK-13', 'SK-1', 'SK-1']","['None', 'kgm', 'kgm']",True,True
mp-1177691,Li3Cr5O8,Li,1,16,3,3.01547,5.19465,3,['R-3m'],166,-2.18499433,0.0,[2],['SK-1'],['kgm'],True,True
mp-1246931,Lu3Mg2VS8,Lu,1,14,3,3.84658,6.55164,4,['R-3m'],166,-1.92518075,0.0,[2],['SK-1'],['kgm'],True,True
mp-755212,Li3Co2(NiO4)2,Li,1,15,3,2.87726,4.93203,4,['C2/m'],12,-1.43914717,0.0,[2],['SK-1'],['kgm'],False,True
mp-1218677,SrCa3Zr16(PO4)24,Ca,1,140,3,8.93275,9.2742,5,['R-3'],148,-3.24796799,4.1521,[2],['SK-1'],['kgm'],True,True
mp-1079242,DyCdGa,Dy,1,9,3,3.76053,4.39799,3,['P-62m'],189,-0.51296364,0.0,[2],['SK-1'],['kgm'],True,True
mp-12510,LaSnPd,La,1,9,3,4.0345,4.22911,3,['P-62m'],189,-0.94409757,0.0,[2],['SK-1'],['kgm'],True,True
mp-763922,Li2FeCo3O8,Co,1,14,3,2.88479,5.01107,4,['C2/m'],12,-1.47318912,0.1896,[2],['SK-1'],['kgm'],False,True
mp-1224046,Ho(AlCu)6,Cu,2,13,6,2.52323,3.87117,3,['Immm'],71,-0.34991973,0.0,[2],['SK-1'],['kgm'],False,True
mp-1226623,CeNd4Zr3O14,Zr,1,22,3,3.86215,6.62804,4,['R-3m'],166,-3.83258828,2.2307,[2],['SK-1'],['kgm'],True,True
mp-582360,TaPd3,Pd,10,40,30,2.7594,2.81629,2,['P6_3/mmc'],194,-0.41576746,0.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1', 'SK-1', 'SK-1', 'SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm', 'kgm', 'kgm', 'kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-772646,Li6V3P8O29,V,2,92,6,4.97259,6.98366,4,['P1'],1,-2.65693253,1.1088,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-771072,Li3V3FeO8,Li,1,15,3,2.92572,5.04444,4,['C2/m'],12,-2.29285768,0.7705,[2],['SK-1'],['kgm'],False,True
mp-771072,Li3V3FeO8,V,1,15,3,2.92547,5.04421,4,['C2/m'],12,-2.29285768,0.7705,[2],['SK-1'],['kgm'],False,True
mp-1094130,LiNO3,O,1,5,3,2.06132,3.56089,3,['R-3m'],166,0.77353064,0.0,[2],['SK-1'],['kgm'],True,True
mp-757283,Li8V3P8O29,V,2,96,6,5.04398,7.00168,4,['Cc'],9,-2.72364563,1.2925,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-12752,Zr4Al3,Al,1,7,3,2.7279,4.72486,2,['P6/mmm'],191,-0.46024816,0.0,[2],['SK-1'],['kgm'],True,True
mp-759988,Li3MnFe3O8,Fe,2,30,6,2.91459,5.08368,4,['P6_3mc'],186,-1.12880312,1.5574,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-757424,LiMn3NiO8,Mn,1,13,3,2.88613,4.98584,4,['C2/m'],12,-1.69535421,0.118,[2],['SK-1'],['kgm'],False,True
mvc-14924,Al4(FeO4)3,Al,1,38,8,2.83135,2.92744,3,['C2/m'],12,-2.29081186,0.0,[2],['SK-1'],['kgm'],True,True
mp-1196045,GdAu3C6(N2O)3,C,4,38,12,3.90273,3.99154,5,['P6_3/mcm'],193,0.1948495,0.0,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-1196045,GdAu3C6(N2O)3,O,2,38,6,3.9011,4.19892,5,['P6_3/mcm'],193,0.1948495,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1196045,GdAu3C6(N2O)3,Au,2,38,6,3.46218,5.99667,5,['P6_3/mcm'],193,0.1948495,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-757556,Li7V3P8O29,V,2,94,6,5.01497,7.01202,4,['P1'],1,-2.68999204,0.9115,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1212093,HoFe6(Sn2Ge)2,Fe,2,13,6,2.64777,4.04147,4,['P6/mmm'],191,-0.18783462,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1252068,KAl11O17,Al,4,58,22,2.8127,2.93367,3,['P6_3/mmc'],194,-3.38084595,4.6859,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
mp-1103553,Tm(GaFe)6,Fe,2,13,6,2.5009,4.15215,3,['Immm'],71,-0.32341409,0.0,[2],['SK-1'],['kgm'],True,True
mp-1176902,Li6V3P8O29,V,2,92,6,5.00054,7.03461,4,['Cc'],9,-2.65611622,1.4619,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1211151,Lu3Cu11Si4,Si,2,36,8,4.16037,4.26001,3,['P6_3/mmc'],194,-0.32031842,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-756370,Li2Ni3WO8,Ni,2,28,6,2.97035,5.1457,4,['R-3m'],166,-1.64208375,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-644318,NaV3H6(SO7)2,V,2,52,6,3.70622,6.09049,5,['R-3m'],166,-1.98980955,0.0938,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-756610,Li3Mg(NiO2)4,Li,1,16,3,2.93531,5.08109,4,['R-3m'],166,-1.64768328,0.0,[2],['SK-1'],['kgm'],True,True
mp-1094448,Mg2Zn,Mg,1,6,4,2.99039,3.07179,2,['P-62m'],189,-0.00507585,0.0,[2],['SK-1'],['kgm'],True,True
mp-10049,MnAsRu,Mn,1,9,3,3.45044,3.6102,3,['P-62m'],189,-0.21012219,0.0,[2],['SK-1'],['kgm'],True,True
mp-1104779,Mg(NiGe)6,Ni,2,13,6,2.5498,3.90612,3,['P6/mmm'],191,-0.26463541,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1247158,Mg2CrCo3S8,Co,1,14,3,3.50508,6.04101,4,['R-3m'],166,-0.96759493,0.5948,[2],['SK-1'],['kgm'],True,True
mp-5615,CaAgAs,Ca,1,9,3,3.7962,4.3127,3,['P-62m'],189,-0.78909931,0.1257,[2],['SK-1'],['kgm'],True,True
mp-1305992,Li4Ni3SbO8,Ni,2,32,6,2.97814,5.15993,4,['C2/c'],15,-1.78796863,0.0645,[2],['SK-1'],['kgm'],False,True
mp-1214205,BaYbAl3SiN4O3,Al,2,26,6,3.07448,5.36296,6,['P6_3mc'],186,-2.18640512,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1209840,NdSi2Ir3,Ir,2,12,6,2.83387,3.20028,3,['Imma'],74,-0.95191317,0.0,[2],['SK-1'],['kgm'],False,True
mp-1205770,ErMgTl,Er,1,9,3,3.9323,4.59557,3,['P-62m'],189,-0.29610929,0.0,[2],['SK-1'],['kgm'],True,True
mp-1215391,ZrMn6(GaSn2)2,Mn,2,13,6,2.67978,4.29861,4,['P6/mmm'],191,-0.1148241,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1175963,Li9Mn2Co5O16,Co,1,32,5,2.89991,5.02508,4,['P1'],1,-1.64706448,0.0,[2],['SK-1'],['kgm'],False,True
mp-1314304,Li2FeCo3O8,Co,2,28,6,2.91566,5.06066,4,['P-1'],2,-1.52494961,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1206541,CoNiP,Co,1,9,3,3.0918,3.32337,3,['P-62m'],189,-0.48922874,0.0,[2],['SK-1'],['kgm'],True,True
mp-1216051,Y7ReO14,Y,1,22,7,3.77226,3.85508,3,['R-3m'],166,-3.50745679,0.8484,[2],['SK-1'],['kgm'],True,True
mp-11538,TbAlNi,Tb,1,9,3,3.67701,3.81446,3,['P-62m'],189,-0.59113135,0.0,[2],['SK-1'],['kgm'],True,True
mp-14208,LiYSi,Y,1,9,3,3.62606,4.23997,3,['P-62m'],189,-0.58939368,0.0,[2],['SK-1'],['kgm'],True,True
mp-1227480,Ca2Nd2Nb3FeO14,Nb,1,22,3,3.74639,6.37524,5,['C2/m'],12,-3.22298653,2.3155,[2],['SK-1'],['kgm'],False,True
mp-1310623,Li3Fe3O8,Fe,2,28,6,2.9187,5.07104,3,['C2/c'],15,-1.60334946,0.2492,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-6844,KLi3Si12(SnO15)2,Li,2,96,6,5.07856,7.25654,5,['P6/mcc'],192,-3.0408515,4.4357,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1176917,Li6V3P8O29,V,1,92,6,4.97606,5.07919,4,['P1'],1,-2.65856396,1.0851,[2],['SK-1'],['kgm'],False,True
mp-1247155,Mg2Al3WS8,Al,1,14,3,3.61744,6.26556,4,['R-3m'],166,-1.26997121,0.4324,[2],['SK-1'],['kgm'],True,True
mp-1317991,Li3Ti(NiO2)4,Li,1,16,3,2.94333,5.09493,4,['P-1'],2,-1.92690987,0.264,[2],['SK-1'],['kgm'],False,True
mp-771014,Li(CoO2)2,Co,2,28,8,2.81758,2.97737,3,['P6_3mc'],186,-1.3729873,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1225092,Er(AlFe)6,Fe,2,13,6,2.49061,4.06329,3,['Immm'],71,-0.39219469,0.0,[2],['SK-1'],['kgm'],True,True
mp-756154,Li2Cr3BiO8,Cr,2,28,6,3.02096,5.23248,4,['R-3m'],166,-2.14383462,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-13765,Ce3Co11B4,Co,5,18,11,2.48748,2.89859,3,['P6/mmm'],191,-0.38281894,0.0,"[2, 2]","['SK-1', 'LI-51']","['None', 'kgm']",True,True
mp-1077950,Tl2Pd3S2,Pd,1,7,3,2.99141,5.02283,3,['R-3m'],166,-0.49322366,0.0,[2],['SK-1'],['kgm'],True,True
mp-867839,Ta7BiO19,Ta,4,54,14,3.49125,3.74764,3,['P6_322'],182,-3.19085463,3.0334,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",True,True
