MP ID,Chemical Formula,FB Sublattice,N FBs,Sites per Unit Cell,Sites in FB Sublattice,d_NN,d_NNN,N Elements,Spacegroup,Spacegroup Number,E per Atom,Bandgap,FB Lattice Dimensionality,FB Lattice IDs,RCSR Name,Flat with decay,Flat with no decay
mp-761000,Li3V3P8O29,V,2,86,6,4.93518,6.98736,4,['P1'],1,-2.52307955,0.8356,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1310383,LiCo3NiO8,Co,2,26,6,2.814,4.86634,4,['P-1'],2,-1.22513059,0.4661,[2],['SK-1'],['kgm'],False,True
mp-1216951,U(Fe5Mo)2,Fe,2,13,10,2.33173,2.4771,3,['Immm'],71,0.02809976,0.0,[2],['SK-1'],['kgm'],False,True
mp-850022,Li4V3P8O29,V,2,88,6,4.92908,7.15578,4,['Cc'],9,-2.5752044,1.0549,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1221359,Na2W3SeO14,W,2,40,6,3.61966,6.31937,4,['Cc'],9,-1.62950797,0.0235,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1176872,Li7V3P8O29,V,2,94,6,4.98505,7.03821,4,['P1'],1,-2.63653237,0.0445,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-765017,Li4V3P8O29,V,2,88,6,4.91569,7.19079,4,['P1'],1,-2.56375586,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-761540,Co3SbO8,Co,2,24,6,2.79177,4.79067,3,['Cc'],9,-1.25775004,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1225086,Er(MnAl)6,Mn,2,13,6,2.45998,4.0339,3,['Immm'],71,-0.24889619,0.0,[2],['SK-1'],['kgm'],False,True
mp-42036,Nd6Al7Si5N3O25,Nd,2,46,6,4.13887,4.82803,5,['P1'],1,-3.29658312,3.3788,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-760296,Li5MnCr3O8,Cr,2,34,6,2.93653,5.2078,4,['P6_3mc'],186,-2.23502863,2.1054,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-765486,PrAl22O34,Al,2,57,22,2.79013,2.92981,3,['Pm'],6,-3.38188138,0.0,[2],['SK-1'],['kgm'],True,True
mp-1225398,Dy(MnAl)6,Mn,2,13,6,2.45384,4.04093,3,['Immm'],71,-0.24412986,0.0,[2],['SK-1'],['kgm'],False,True
mp-764994,Li3V3P8O29,V,2,86,6,4.89568,7.11011,4,['P1'],1,-2.52480818,0.9545,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177035,Li6V3P8O29,V,2,92,6,4.99693,7.02967,4,['Cc'],9,-2.66455244,1.3483,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",False,True
mp-1215627,Zr2VRe3,Re,2,12,6,2.63413,4.54629,3,['P6_3/mmc'],194,-0.3793032,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177093,Li5V3P8O29,V,2,90,6,4.94867,6.98926,4,['P1'],1,-2.62228077,0.6322,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-756915,Li3VCr4O8,Li,1,16,3,2.97318,5.15035,4,['C2/m'],12,-2.24170162,0.1433,[2],['SK-1'],['kgm'],False,True
mp-752667,Li6NbFe5O12,Li,1,24,6,2.92973,3.07902,4,['Cm'],8,-2.06035484,1.7437,[2],['SK-1'],['kgm'],False,True
mp-1194737,YB3H27N5,B,2,72,6,4.76427,5.45004,4,['P6_3'],173,-0.36754642,4.8172,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mvc-9733,Ca(BiO2)2,Bi,4,42,12,3.46654,4.12428,3,['P3m1'],156,-2.05782212,1.657,"[2, 2]","['SK-1', 'SK-18']","['kgm', 'None']",True,True
mp-1205501,CrCoCl3,Cl,2,10,6,3.24163,3.43512,3,['P6_3/mmc'],194,-0.49472792,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-776308,Li6Co3P8O29,Co,2,92,6,4.91704,6.92901,4,['P1'],1,-2.32377253,0.0739,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-863371,Li3V3P8O29,V,1,86,6,4.87569,5.13035,4,['P1'],1,-2.52291406,1.0128,[2],['SK-1'],['kgm'],False,True
mvc-8049,Zn2Fe3O8,Fe,2,26,6,2.92564,5.01341,3,['P6_3mc'],186,-1.42801726,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mvc-9588,Zn(BiO2)2,Bi,1,14,4,3.41258,3.981,3,['R3m'],160,-1.50862594,1.2635,[2],['SK-1'],['kgm'],True,True
mp-569415,Nd5Co19B6,Co,9,30,19,2.46548,2.86542,3,['P6/mmm'],191,-0.25265985,0.0,"[2, 2, 2]","['SK-1', 'LI-51', 'LI-51']","['None', 'None', 'kgm']",True,True
mp-775190,Li2V3CuO8,V,1,14,3,2.90594,5.09704,4,['R3m'],160,-2.21681816,0.0,[2],['SK-1'],['kgm'],True,True
mp-1227746,BaSr3Zr2Ti2O12,O,4,20,12,2.77884,2.91825,5,['R3m'],160,-3.56285202,2.212,"[2, 2]","['SK-1', 'SK-512']","['kgm', 'None']",True,True
mp-773061,Ba6Ti7Nb9O42,Ba,2,64,6,4.77117,6.14211,4,['Cm'],8,-3.32258848,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mvc-9599,Ca(CuO2)2,Cu,1,14,4,3.02034,3.53396,3,['R3m'],160,-1.45774283,0.0,[2],['SK-1'],['kgm'],True,True
mp-1216002,YTh(B2Ru3)2,Ru,2,12,6,2.71507,3.05242,4,['Pmmm'],47,-0.48834637,0.0,[2],['SK-1'],['kgm'],False,True
mp-1174103,Li4MnCo3O8,Co,1,16,3,2.90857,5.00333,4,['P-1'],2,-1.76077704,0.0,[2],['SK-1'],['kgm'],False,True
mp-1177017,Li6Fe3P8O29,Fe,2,92,6,5.07524,7.07831,4,['Cc'],9,-2.4447656,0.024,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177191,Li4V3P8O29,V,2,88,6,4.91809,6.98257,4,['P1'],1,-2.57078225,1.04,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1173142,SrYbAl2Si2N5O2,Al,1,26,4,2.9736,5.2103,6,['P1'],1,-1.87263563,0.2274,[2],['SK-1'],['kgm'],False,True
mp-849305,Li3Fe4O3F5,Li,1,15,3,2.99352,5.17923,4,['P1'],1,-2.28041179,2.0659,[2],['SK-1'],['kgm'],False,True
mp-1220799,NbNi,Ni,5,26,13,2.42174,4.22966,2,['R-3m'],166,-0.20342371,0.0,"[2, 2, 2]","['SK-1', 'SK-18', 'SK-1']","['kgm', 'None', 'kgm']",True,True
mp-7293,HgPSe3,Se,4,20,12,3.57948,3.91343,3,['C2/c'],15,-0.40395817,1.2149,"[2, 2, 2, 2]","['SK-1', 'SK-1', 'SK-1', 'SK-1']","['kgm', 'kgm', 'kgm', 'kgm']",False,True
mp-567339,PrOs2,Os,2,12,8,2.63478,2.79232,2,['P6_3/mmc'],194,-0.05151603,0.0,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mvc-8028,Zn2Cr3O8,Cr,2,26,6,2.87995,5.04948,3,['P6_3mc'],186,-1.95058971,0.6529,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
mp-1177130,Li5V3P8O29,V,2,90,6,4.96399,7.02394,4,['C2'],5,-2.61465046,0.3427,"[2, 2]","['SK-1', 'SK-1']","['kgm', 'kgm']",True,True
